成分コード,意味,服薬指導文章
1145700,インドメタシン,胃部不快感や腹痛などの消化器症状の発現なく経過良好｜皮膚の発疹やかゆみなどの過敏症症状の出現なく使用継続できている｜長期連用による副作用の兆候なく適切に使用されている｜患部の状態に合わせて外用剤の使用継続を確認し問題なし
1147002,ジクロフェナクナトリウム,胃部不快感や腹痛などの消化器症状の出現なく服用継続できている｜発疹や痒みなどの皮膚症状の出現なく経過良好｜喘息発作の誘発等の兆候なく安全に服用できている｜浮腫などの副作用症状を認めず安定して経過している
1147700,ジクロフェナクナトリウム,胃部不快感や腹痛などの消化器症状の出現なく服用継続できている｜発疹や痒みなどの皮膚症状の出現なく経過良好｜喘息発作の誘発等の兆候なく安全に服用できている｜浮腫などの副作用症状を認めず安定して経過している
1148001,チアラミド塩酸塩,胃痛や腹部不快感などの消化器症状の出現なく服用できている｜発疹や痒み等の過敏症の兆候なく経過良好｜眠気やふらつき等の自覚症状なく安定して継続中｜服薬による特段の副作用症状は認められず良好に経過している
1149001,イブプロフェン,胃部不快感などの消化器症状の出現なく経過良好｜発疹や痒み等の過敏症状の訴えなく服用継続に問題なし｜用法用量を遵守し体調に変化なく服用中｜副作用の自覚症状なく定期的に服用し症状は安定している
1149007,ナプロキセン,胃部不快感や腹痛などの消化器症状の出現なく順調に服用できている｜発疹や痒みなどの皮膚症状の出現なく経過良好｜眠気やめまいなどの自覚症状なく安定して継続できている｜胃腸障害の予防として食後服用を継続し体調に変化なし
1149009,ブコローム,胃部不快感や腹痛などの消化器症状なく服用できている｜発疹や皮膚のかゆみなどの過敏症症状なく経過良好｜眠気や倦怠感などの自覚症状なく安定して継続中｜血液検査値の推移に異常なく治療継続に問題なし
1149011,フルルビプロフェン,胃部不快感や腹痛などの消化器症状の発現なく経過良好｜皮膚の発疹やかゆみなどの過敏症状なく服用継続に問題なし｜用法用量を遵守し指示通りに服用できている｜長期連用による副作用の訴えなく安定して使用中
1149013,ジメトチアジンメシル酸塩,眠気やだるさなどの自覚症状なく経過良好｜口渇や便秘等の抗コリン作用による影響は見られず継続に問題なし｜ふらつきや立ちくらみ等の訴えなく安定して服用中｜特記すべき副作用の出現なく処方通りの継続で問題なし
1149017,ピロキシカム,胃腸障害や発疹などの自覚症状なく安定して継続できている｜腹痛や吐き気などの消化器症状の出現なく経過良好｜皮膚の異常や浮腫などの副作用の訴えなく服用継続に支障なし｜体調の変化や新たな自覚症状の訴えなく問題なく経過している｜腎機能や肝機能への影響を疑わせる臨床症状の出現は見られない
1149019,ロキソプロフェンナトリウム水和物,胃部不快感や腹痛などの副作用症状なく経過良好｜発疹や浮腫などの過敏症状の発現なく問題なく服用中｜空腹時の服用を避け指示通り頓服として使用できている｜頭痛や痛みなどの症状改善が見られ経過は順調である
1149023,ワクシニアウイルス接種家兎炎症皮膚抽出液,痛みや腫れの増悪なく経過良好｜使用部位に発赤や痒みなどの皮膚症状なく継続可能｜患部への塗布状況を確認し指示通り継続できている｜痛みによる生活制限なく安定して経過している｜特に副作用の訴えはなく計画通りに使用継続中
1149026,オキサプロジン,胃腸障害などの副作用の発現なく良好に経過している｜食後服用を徹底し消化器症状の出現なく継続できている｜浮腫や皮疹等の皮膚症状の出現なく副作用の兆候は見られない｜定期的な服用により疼痛のコントロールは維持されており問題なく経過している
1149027,ナブメトン,胃部不快感や腹痛などの消化器症状の出現なく継続できている｜皮疹や掻痒感などの過敏症状なく順調に経過している｜服用による体調変化や胃腸障害の訴えはなく安定している｜定期的な服用により疼痛コントロールは良好に維持されている
1149029,ザルトプロフェン,胃部不快感などの消化器症状の訴えなく継続に問題なし｜皮疹や掻痒感などの過敏症状なく経過良好｜服用による胃への負担を感じることなく良好に服用中｜食後の服用が定着しており胃部症状の出現なし
1149031,アクタリット,発疹や掻痒感などの皮膚症状の出現なく経過良好｜胃部不快感や食欲不振などの消化器症状の訴えなく継続できている｜定期的な血液検査の実施状況を確認し、骨髄抑制等の副作用兆候がないことを確認済み｜関節痛の改善傾向が見られ、現在の用量で安定して服用できている
